method,k,mean_accuracy,std_accuracy
knn,1,0.9849827784156142,0.013350923380435378
knn,2,0.9849827784156142,0.013350923380435378
knn,3,0.984937550012177,0.009441415357195409
knn,4,0.9879226246390426,0.006041081861218047
knn,5,0.9848923216087396,0.00958419355614215
knn,6,0.9848923216087396,0.00958419355614215
knn,7,0.9848923216087396,0.00958419355614215
knn,8,0.9848923216087396,0.00958419355614215
knn,9,0.9848923216087396,0.00958419355614215
knn,10,0.9848923216087396,0.00958419355614215
knn,11,0.9788742220612281,0.007685352851515312
knn,12,0.9818153985318163,0.011464327989822104
knn,13,0.9788742220612281,0.007685352851515312
knn,14,0.9818153985318163,0.011464327989822104
knn,15,0.9788742220612281,0.007685352851515312
knn,16,0.9818153985318163,0.011464327989822104
knn,17,0.9788742220612281,0.007685352851515312
knn,18,0.9788742220612281,0.007685352851515312
knn,19,0.9757972989843051,0.012501151788856014
knn,20,0.9788742220612281,0.007685352851515312
weighted_knn,1,0.9849827784156142,0.013350923380435378
weighted_knn,2,0.9849827784156142,0.013350923380435378
weighted_knn,3,0.984937550012177,0.009441415357195409
weighted_knn,4,0.9879226246390426,0.006041081861218047
weighted_knn,5,0.9848923216087396,0.00958419355614215
weighted_knn,6,0.9848923216087396,0.00958419355614215
weighted_knn,7,0.9848923216087396,0.00958419355614215
weighted_knn,8,0.9848923216087396,0.00958419355614215
weighted_knn,9,0.9848923216087396,0.00958419355614215
weighted_knn,10,0.9848923216087396,0.00958419355614215
weighted_knn,11,0.9848923216087396,0.00958419355614215
weighted_knn,12,0.9848923216087396,0.00958419355614215
weighted_knn,13,0.9818153985318163,0.011464327989822104
weighted_knn,14,0.9818153985318163,0.011464327989822104
weighted_knn,15,0.9818153985318163,0.011464327989822104
weighted_knn,16,0.9818153985318163,0.011464327989822104
weighted_knn,17,0.9818153985318163,0.011464327989822104
weighted_knn,18,0.9818153985318163,0.011464327989822104
weighted_knn,19,0.9788742220612281,0.007685352851515312
weighted_knn,20,0.9818153985318163,0.011464327989822104
